frame_idx,x1,y1,x2,y2
0,621,216,1060,617
0_aug00,671,238,1140,668
0_aug01,269,258,684,636
1,619,219,1057,623
1_aug00,245,135,727,581
1_aug01,306,265,711,643
2,621,221,1062,631
2_aug00,358,208,760,589
2_aug01,290,153,754,589
3,617,216,1065,621
3_aug00,653,140,1141,584
3_aug01,630,167,1101,599
4,621,221,1067,625
4_aug00,331,215,777,628
4_aug01,646,239,1057,616
5,619,218,1067,623
5_aug00,586,228,1003,616
5_aug01,613,414,1093,851
6,617,215,1064,623
6_aug00,669,218,1131,643
6_aug01,616,193,1043,582
7,616,221,1069,621
7_aug00,256,146,736,581
7_aug01,314,269,737,654
8,620,219,1064,618
8_aug00,291,249,724,643
8_aug01,273,448,672,815
9,623,218,1064,627
9_aug00,333,248,755,646
9_aug01,666,315,1058,680
10,621,216,1062,620
10_aug00,321,228,718,598
10_aug01,648,488,1063,869
11,268,600,472,939
11_aug00,300,577,492,892
11_aug01,263,650,475,999
12,268,590,469,920
12_aug00,828,96,1029,417
12_aug01,369,123,574,443
13,277,567,473,907
13_aug00,901,620,1099,961
13_aug01,298,474,492,795
14,263,238,484,681
14_aug00,250,300,453,700
14_aug01,258,299,524,761
15,288,2,1148,1070
15_aug00,301,0,1228,1043
15_aug01,321,0,1053,1061
16,339,3,1195,1014
16_aug00,197,1,968,968
16_aug01,462,58,1141,1051
17,619,221,1061,617
17_aug00,353,245,756,607
17_aug01,257,206,732,632
18,969,420,1284,793
18_aug00,64,461,383,836
18_aug01,985,446,1276,789
19,981,274,1284,590
19_aug00,77,281,398,619
19_aug01,1011,564,1314,859
20,997,226,1290,521
20_aug00,1001,606,1305,905
20_aug01,25,318,335,654
21,1004,137,1269,421
21_aug00,122,233,357,508
21_aug01,146,174,408,448
22,899,94,1210,313
22_aug00,914,43,1242,272
22_aug01,130,6,467,229
23,903,194,1236,480
23_aug00,152,158,505,450
23_aug01,962,521,1329,856
24,891,50,1209,317
24_aug00,962,108,1244,401
24_aug01,818,726,1112,962
25,840,1,1152,158
25_aug00,267,4,603,113
25_aug01,759,1,1087,124
26,743,10,1088,235
26_aug00,797,744,1112,978
26_aug01,282,85,596,308
27,184,0,1044,276
27_aug00,281,0,1151,244
27_aug01,73,8,951,268
28,617,217,1061,621
28_aug00,574,190,1052,625
28_aug01,586,191,1041,610
29,164,2,1043,452
29_aug00,313,39,1298,481
29_aug01,235,569,1046,1029
30,139,17,1006,466
30_aug00,370,155,740,452
30_aug01,350,560,1138,999
31,129,27,997,527
31_aug00,370,86,1297,545
31_aug01,383,200,1233,572
32,135,29,983,537
32_aug00,89,572,1013,1072
32_aug01,403,140,1277,567
33,146,25,966,498
33_aug00,88,2,975,465
33_aug01,415,47,1301,528
34,137,34,977,508
34_aug00,103,47,962,505
34_aug01,416,83,1239,488
35,619,214,1001,532
35_aug00,596,167,997,503
35_aug01,610,228,1008,563
36,128,44,1016,542
36_aug00,144,49,1026,557
36_aug01,294,506,1110,1043
37,110,15,1027,532
37_aug00,17,143,955,561
37_aug01,163,0,1084,534
38,122,26,1037,529
38_aug00,335,27,1301,557
38_aug01,309,8,1138,509
39,617,219,1061,621
39_aug00,348,507,795,907
39_aug01,218,409,680,830
40,136,31,1036,483
40_aug00,301,0,1288,451
40_aug01,101,565,1078,1014
41,122,36,1048,512
41_aug00,255,0,1227,525
41_aug01,253,18,1210,533
42,115,57,1068,596
42_aug00,338,134,1354,565
42_aug01,346,127,1236,595
43,120,53,1105,640
43_aug00,197,75,1249,628
43_aug01,284,0,1154,639
44,120,27,1071,537
44_aug00,107,92,995,530
44_aug01,215,0,1160,541
45,139,29,1054,522
45_aug00,250,25,1155,517
45_aug01,244,532,1070,1054
46,147,23,1061,516
46_aug00,343,53,1167,547
46_aug01,43,60,1001,487
47,164,16,1046,439
47_aug00,226,36,1061,465
47_aug01,254,26,1183,451
48,177,13,1050,407
48_aug00,337,0,1147,378
48_aug01,308,39,1220,368
49,140,8,1039,355
49_aug00,263,715,630,968
49_aug01,197,0,1030,351
50,619,219,1062,621
50_aug00,320,152,790,596
50_aug01,568,233,1002,630
51,670,64,1008,302
51_aug00,271,109,612,337
51_aug01,264,745,623,986
52,584,105,966,387
52_aug00,439,651,820,955
52_aug01,341,644,698,897
53,515,144,870,462
53_aug00,477,118,834,441
53_aug01,519,156,859,462
54,61,108,828,478
54_aug00,43,166,798,466
54_aug01,69,105,818,492
55,51,157,831,586
55_aug00,549,491,1310,825
55_aug01,77,522,872,1051
56,56,155,815,589
56_aug00,66,238,843,623
56_aug01,2,119,771,556
57,59,151,803,569
57_aug00,112,513,834,866
57_aug01,577,126,1294,540
58,58,154,790,569
58_aug00,605,138,1256,576
58_aug01,407,233,745,547
59,61,149,778,547
59_aug00,155,145,797,536
59_aug01,9,213,718,585
60,623,221,1058,625
60_aug00,285,205,743,650
60_aug01,635,213,1098,648
61,112,85,909,451
61_aug00,426,95,1213,445
61_aug01,473,60,1349,429
62,112,70,918,431
62_aug00,157,66,975,454
62_aug01,425,21,1184,448
63,110,76,930,437
63_aug00,126,660,926,1013
63_aug01,388,0,1250,399
64,109,71,939,428
64_aug00,186,75,993,451
64_aug01,72,30,947,456
65,109,70,940,421
65_aug00,38,90,873,381
65_aug01,339,663,1195,1072
66,108,77,949,418
66_aug00,382,40,1281,452
66_aug01,460,73,1226,427
67,102,78,950,424
67_aug00,461,623,1257,940
67_aug01,484,128,1336,412
68,105,74,952,411
68_aug00,437,146,1264,396
68_aug01,48,647,932,914
69,98,83,957,421
69_aug00,130,0,967,409
69_aug01,441,151,1347,431
70,98,80,962,422
70_aug00,418,140,1341,423
70_aug01,50,108,959,422
71,620,212,1065,617
71_aug00,606,204,1034,593
71_aug01,609,159,1030,552
72,99,84,966,435
72_aug00,229,21,1053,461
72_aug01,379,636,1158,978
73,99,87,970,435
73_aug00,156,125,997,466
73_aug01,411,26,1345,389
74,85,105,969,461
74_aug00,425,183,1273,448
74_aug01,428,157,1354,466
75,78,114,957,473
75_aug00,398,590,1354,986
75_aug01,155,198,960,495
76,78,115,956,466
76_aug00,413,41,1283,434
76_aug01,433,570,1257,836
77,75,124,960,491
77_aug00,349,65,1173,500
77_aug01,89,6,1001,489
78,72,121,956,479
78_aug00,7,108,943,523
78_aug01,340,106,1194,514
79,68,124,926,491
79_aug00,487,246,1311,522
79_aug01,497,601,1294,880
80,68,131,902,526
80_aug00,479,142,1354,509
80_aug01,184,562,945,954
81,65,135,872,543
81_aug00,0,164,842,548
81_aug01,76,47,897,559
82,621,216,1061,618
82_aug00,310,246,763,662
82_aug01,663,261,1114,673
83,620,211,1062,623
83_aug00,565,153,1008,571
83_aug01,632,227,1032,600
84,68,148,867,576
84_aug00,47,127,904,571
84_aug01,97,456,861,866
85,68,154,858,583
85_aug00,0,517,832,946
85_aug01,136,100,885,596
86,71,161,859,603
86_aug00,92,250,874,564
